"תוצאות חיפוש קרנות נאמנות (סה""כ 1437 קרנות)",,,,,,,,,,,,,,,,,,,,,,,,,,
 31/07/2018 ***,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
שם,מעמד מס*,"מס' ני""ע",קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,"קרן קפ""מ אומדן תשואה שנתית","קרן קפ""מ תאריך נכונות****",מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,"שווי נכסים (מליוני ש""ח)",שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,5119995,,4D,גמישות,,,100.09,100.09,0.19,30/07/2018,,,לא מתחייבת לחלק תשלומים,-0.48,-0.64,4.73,1.48,ב'-ה',36.1,0,1.85,0.05,0.35%,"מודלים קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
אזימוט השקעות 4D,פטורה,5114285,,4D,גמישות,,,130.79,130.79,-0.15,31/07/2018,,,לא מתחייבת לחלק תשלומים,-0.37,-4.06,-7.68,1.29,א'-ה',38.8,0,1.94,0.05,0.35%,"מיטב דש קרנות נאמנות בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
אילים 4D גמישה,פטורה,5123732,,4D,גמישות,,,103.3,103.29,-0.06,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.76,-4.4,-2.55,1.39,,16.7,0,0.95,0.04,0.35%,"אילים קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
אלומות 4D גמישה,פטורה,5123989,6,4D,גמישות,,,101.7,101.7,0.32,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.33,-7.51,-4.47,1.6,,19.5,0,1.35,0.07,0.35%,"אלומות ניהול קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
אלומות 4D גמישה,פטורה,5124797,,4D,גמישות,,,113.31,113.31,0.54,30/07/2018,,,לא מתחייבת לחלק תשלומים,1.69,11.11,13.31,1.67,,28.5,0,1.26,0.07,0.35%,"אלומות ניהול קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
אלטשולר 4D גמישה,פטורה,5124201,,4D,גמישות,,,111.46,111.46,-0.13,30/07/2018,,,לא מתחייבת לחלק תשלומים,1.07,3.63,11.07,0.72,,1518.8,0,0.95,0.04,0.35%,"אלטשולר-שחם ניהול קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
אלפא ביתא 4D השקעות,פטורה,5126362,,4D,גמישות,,,95.55,95.55,-1.56,30/07/2018,,,לא מתחייבת לחלק תשלומים,-0.34,-4.45,,,,0.7,0,0.95,0.05,0.35%,"מיטב דש קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
אנליסט גמישה 4D קרן נאמנ,פטורה,5120795,,4D,גמישות,,,4418.08,4418.08,-0.1,31/07/2018,,,לא מתחייבת לחלק תשלומים,1.57,-0.15,3.43,1.22,א'-ה',244.1,0,1.93,0.04,0.35%,"אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
אנליסט השקעות 4D,פטורה,5101639,,4D,גמישות,,,646.83,646.83,-0.14,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.25,-3.25,0.15,1.64,ב'-ה',223.6,0,1.94,0.04,0.35%,"אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
אפסילון 4D גמישה,פטורה,5124920,,4D,גמישות,,,108.92,108.92,-0.86,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.15,4.12,,1.23,,83.9,0,1.3,0.05,0.35%,אפסילון ניהול קרנות נאמנות,"מזרחי טפחות חברה לנאמנות בע""מ"
ברק 4D גמישה,פטורה,5121066,,4D,גמישות,,,96.03,96.03,-0.09,30/07/2018,,,לא מתחייבת לחלק תשלומים,,,,,ב'-ה',7.2,0,1.8,0.1,0.35%,"איילון קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
דולפין 4D גמישה,פטורה,5127279,,4D,גמישות,,,100.73,100.73,0.27,30/07/2018,,,לא מתחייבת לחלק תשלומים,-0.91,,,,,8.3,0,1.9,0.05,0.35%,"איילון קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
דיאמונד 4D גמישה,פטורה,5123609,,4D,גמישות,,,119.69,119.69,-1.12,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.27,13.43,15.7,2.36,,40.8,0,1.85,0.07,0.35%,"איילון קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
הראל 4D השקעות,פטורה,5120779,,4D,גמישות,,,616.16,616.16,0.17,31/07/2018,,,לא מתחייבת לחלק תשלומים,0.21,-3.11,4.35,1.79,א'-ה',29.3,0,1.4,0.04,0.35%,"הראל-פיא קרנות נאמנות בע""מ","פי דאבליו סי חברה לנאמנויות (1971) בע""מ"
הראל 4D לשם,פטורה,5122114,,4D,גמישות,,,112.69,110.48,0.08,30/07/2018,,,לא מתחייבת לחלק תשלומים,0.95,2.6,6.07,0.64,,46.2,2,0.2,0.02,0.35%,"הראל-פיא קרנות נאמנות בע""מ","פי דאבליו סי חברה לנאמנויות (1971) בע""מ"
הראל 4D ספיר,פטורה,5103999,,4D,גמישות,,,325.71,319.32,-0.02,31/07/2018,,,לא מתחייבת לחלק תשלומים,-0.05,-1.89,1.49,0.57,א'-ה',59.7,2,0.39,0.04,0.35%,"הראל-פיא קרנות נאמנות בע""מ","פי דאבליו סי חברה לנאמנויות (1971) בע""מ"
