תוצאות חיפוש קרנות נאמנות (סה"כ 1620 קרנות)
 07/11/2018 ***

Name ,Tax  Status*,Security Number,Code ,ExposureProfile ,Classification Major,Classification Main,Classification Secondary,Purchase Price,Redemption Price,Change from previous day (%),Last update of fund's prices and yields,FundDepositsTBills FundEstimatedYield,FundDepositsTBills FundEstimatedYieldDate****,Dividend Policy,Yield MTD (%),Yield YTD (%),12 Month Yield (%),Standard Deviation,Days Offer,Asset Value,Sales Load (%),Management fee (%),Trustee fee (%),Distribution Commission,Manager,Trustee
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,97.48,97.48,0.30,06/11/2018,,,לא מתחייבת לחלק תשלומים,-0.58,-3.23,-1.06,1.42,ב'-ה',31.7,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,135.15,135.14,0.66,07/11/2018,,,לא מתחייבת לחלק תשלומים,1.05,-0.87,1.45,0.95,א'-ה',37.1,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,103.34,103.32,0.72,06/11/2018,,,לא מתחייבת לחלק תשלומים,1.50,-4.37,-2.50,1.59,,9.9,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,112.07,112.07,0.34,06/11/2018,,,לא מתחייבת לחלק תשלומים,1.27,9.89,11.49,1.38,,66.1,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,110.19,110.19,0.35,06/11/2018,,,לא מתחייבת לחלק תשלומים,0.45,2.45,5.33,1.03,,1595.9,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,92.36,92.36,0.26,06/11/2018,,,לא מתחייבת לחלק תשלומים,0.76,-7.64,,2.07,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,99.98,99.98,0.00,06/11/2018,,,לא מתחייבת לחלק תשלומים,-0.01,,,,,,,0.500,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4604.53,4604.53,1.22,07/11/2018,,,לא מתחייבת לחלק תשלומים,2.11,4.06,5.21,1.29,א'-ה',245.9,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,662.61,662.61,0.39,06/11/2018,,,לא מתחייבת לחלק תשלומים,0.70,-0.89,-0.94,1.40,ב'-ה',227.4,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,111.09,111.09,0.12,06/11/2018,,,לא מתחייבת לחלק תשלומים,0.52,6.19,7.44,0.88,,111.8,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
